id,num_origin,nu
G006561008001410,100,100
G065W61004000110,100,100
G000561005000610,100,100
G007061005000810,100,100
G351161002000810,100,100
G006561004000210,100,100
G701161001002610,100,100
G421361001000310,100,100
G003061003000420,100,100
G221161001001210,100,100
G000561004000320,100,100
S001561001000520,100,100
G065E61006001610,100,100
G008561003000120,100,100
S002861001000610,100,100
G006561013000820,100,100
G008561001000510,100,100
G004061001001010,100,100
G000561001001610,100,100
G003061002000220,100,100
S002861001000920,100,100
G300161001001220,100,100
G065E61001001220,100,100
G030N61001001910,100,100
G351161001000710,100,100
G065W61001000620,100,100
G006561005000810,100,100
G030N61001001520,100,100
G006561007000820,100,100
S002861001000820,100,100
G000561002000110,100,100
G221161001001020,100,100
G000561002000210,100,100
G065E61003000510,100,100
G006561011000820,100,100
G006561007001020,100,100
G008561001001010,100,100
G181261001000110,100,100
G003061001002110,100,100
G221161002000210,100,100
G006961001000110,100,100
G300161001001620,100,100
G065E61005000710,100,100
G003061001002210,100,100
S001561001000620,100,100
G181261003000210,100,100
S003261001001020,100,100
G006561006000720,100,100
G065E61006000810,100,100
G008561003000310,100,100
G065W61001001510,100,100
G701161002000210,100,100
G004061002001510,100,100
G701161001002720,100,100
G006561011000520,100,100
G003061007000120,100,100
G006561013000520,100,100
G221161002000710,100,100
G065E61004000810,100,100
G065E61005000810,100,100
G000561004000310,100,100
G300161001002810,100,100
G000561005000110,100,100
G421361001000810,100,100
G065W61002001120,100,100
G007061003000410,100,100
G351161002000710,100,100
G007061001000820,100,100
G003061001002020,100,100
G006561001000420,100,100
G007061001000620,100,100
G007061001001110,100,100
G006961001000620,100,100
G006561006000910,100,100
G065W61002000410,100,100
S002861001000710,100,100
G006561009001120,100,100
S002861001000620,100,100
G351161002000510,100,100
G008561002000620,100,100
G701161001002210,100,100
G002061001000420,100,100
G008561003000720,100,100
G006561005000620,100,100
G006561003000210,100,100
G065E61003000110,100,100
G701161001001110,100,100
S003261001000220,100,100
G004061002001720,100,100
G003061002000510,100,100
G006561012000120,100,100
G000561004000810,100,100
G030N61001000520,100,100
G003061006001320,100,100
S002861001000320,100,100
G691161001000210,100,100
G008561001000210,100,100
G300161001003320,100,100
S001561001000120,100,100
S002761001000720,100,100
G065E61002000510,100,100
G000561001001620,100,100
G002261001001810,100,100
G351161002001710,100,100
G006561001000720,100,100
G701161001002810,100,100
G002261001001610,100,100
G421361001000510,100,100
G003061001001320,100,100
G065W61003000410,100,100
G003061001001610,100,100
G000561001000720,100,100
G065W61003000420,100,100
G004061002001010,100,100
G000561003000710,100,100
G003061006000110,100,100
G004061002002020,100,100
G351161001000220,100,100
G006561001001010,100,100
G030N61001002520,100,100
G006561002000120,100,100
G007061006001510,100,100
G004061002000120,100,100
G002261001000220,100,100
G000561001000420,100,100
G000561006000210,100,100
G691161001000710,100,100
G701161001001320,100,100
G351161001000210,100,100
G065E61003000410,100,100
G003061001001820,100,100
S000161001000410,100,100
G003061001000520,100,100
G007061003000110,100,100
G002061003000610,100,100
G065E61006000410,100,100
G006561007000110,100,100
G006561013001320,100,100
G007061002000920,100,100
G065E61006000720,100,100
G065E61006000310,100,100
G000561001001020,100,100
G002061002000320,100,100
G300161001000820,100,100
G065W61002000210,100,100
G701161002001310,100,100
G221161001001510,100,100
G065E61006000420,100,100
G701161002002310,100,100
G006561005000210,100,100
G065W61002001410,100,100
G701161001002910,100,100
S003061001000220,100,100
G000561006000420,100,100
G065E61002000220,100,100
G300161001001420,100,100
G065E61001001410,100,100
G006961002000410,100,100
G003061005000620,100,100
G003061002000110,100,100
G007061002000210,100,100
G065W61001000210,100,100
G006561004000420,100,100
G691161001001020,100,100
G006561002001010,100,100
G003061006000910,100,100
G030N61002000220,100,100
G004061002000410,100,100
G065W61003001410,100,100
G065W61002000920,100,100
G006561009001420,100,100
G006561013001010,100,100
G008561001001420,100,100
G007061005000520,100,100
G065W61003001120,100,100
G000561004001120,100,100
S001561001000420,100,100
G006561007000520,100,100
G065E61003000210,100,100
G701161001002510,100,100
G002261001001320,100,100
G221161001001610,100,100
G006561008000210,100,100
G006961001001220,100,100
G351161002002320,100,100
G002061002000420,100,100
G007061006001410,100,100
G004061001001120,100,100
G002061002000620,100,100
G000561004001210,100,100
G065W61003000620,100,100
G006561009000810,100,100
G007061006002020,100,100
G006561009000710,100,100
G006561001000320,100,100
G006561013000110,100,100
G000561005000220,100,100
G007061006002110,100,100
G006561001000210,100,100
G181261001000910,100,100
S001461001000110,100,100
G006561009001320,100,100
G006561013000710,100,100
G006561013001110,100,100
G351161002001010,100,100
G000561005000720,100,100
G701161001000710,100,100
G065E61001001720,100,100
G065W61004000720,100,100
G351161003001320,100,100
G701161001000420,100,100
G003061005000310,100,100
G065E61001000220,100,100
G181261001001020,100,100
G006561009001620,100,100
S003261001000320,100,100
G008561002000510,100,100
G065E61001001210,100,100
G006561006001020,100,100
G003061001001020,100,100
G006561003001010,100,100
S001461001000120,100,100
G006561008000420,100,100
G030N61001001010,100,100
G007061006001810,100,100
G065W61003000510,100,100
G701161002001410,100,100
G351161002001120,100,100
G000561004000220,100,100
S002761001000520,100,100
G007061001000320,100,100
S002161001000210,100,100
G006561008000120,100,100
G007061005001120,100,100
G006561009001110,100,100
G006961002000120,100,100
G008561001000220,100,100
G000561001002320,100,100
G002061001000710,100,100
G006561004000720,100,100
G004061001000310,100,100
G351161001000510,100,100
G221161001001910,100,100
G003061003002410,100,100
G300161001003010,100,100
G300161001000120,100,100
G181261001000310,100,100
G181261001001010,100,100
G181261001000920,100,100
G181261003000520,100,100
G003061007000410,100,100
G002061003000720,100,100
G003061001000510,100,100
G000561004000820,100,100
G065E61006001310,100,100
G351161003001020,100,100
G000561005000420,100,100
G006561007000420,100,100
G421361001000110,100,100
G004061002001820,100,100
G007061003000220,100,100
G006561008002410,100,100
G006561011000610,100,100
G000561003000720,100,100
G701161001000510,100,100
G065E61001000510,100,100
G351161002000210,100,100
G065E61006000220,100,100
G701161001001420,100,100
G008561001000910,100,100
G351161002000420,100,100
G065E61005000720,100,100
G351161002002220,100,100
G701161002001010,100,100
G181261003000410,100,100
G065W61003000310,100,100
G000561001000920,100,100
G065E61001000820,100,100
G006961001000610,100,100
G002061003001310,100,100
G003061004000220,100,100
G004061001000520,100,100
G007061005000820,100,100
G701161001002410,100,100
G221161001000820,100,100
G003061001000220,100,100
G065W61003001520,100,100
G065W61001000310,100,100
G002261001000510,100,100
G006561002000920,100,100
G003061001002220,100,100
G065E61002000710,100,100
G008561004000210,100,100
G065W61004000810,100,100
S002761001000120,100,100
S001561001000720,100,100
G351161002001410,100,100
G008561003000520,100,100
G007061005000910,100,100
G008561004000120,100,100
G030N61001001510,100,100
G002061003000320,100,100
G007061002000110,100,100
G004061001000710,100,100
G002061001000410,100,100
