id,speed_origin,speed
G000561001002310_1.0,32.1,32.1
G000561001000610_1.0,400.3,50
G000561001000710_1.0,51.8,50
G000561001000810_1.0,52.8,50
G065E61002000210_1.0,40.2,40.2
G065E61002000310_1.0,62,50
G065E61002000410_1.0,62.7,50
G065E61002000510_1.0,61,50
G003061001000810_1.0,60.9,50
G003061001001210_1.0,44.1,44.1
G003061001001310_1.0,59.8,50
G003061002000110_1.0,58.1,50
G003061002000210_1.0,58.9,50
G003061002000410_1.0,11.3,11.3
G003061003000510_1.0,59.8,50
G002261001000320_1.0,49.6,49.6
G002261001000220_1.0,58,50
G000561004000320_1.0,47.6,47.6
G000561004000220_1.0,31.7,31.7
G000561004000120_1.0,40.9,40.9
G000561003000520_1.0,52.9,50
G000561003000420_1.0,57.5,50
G300161001001510_1.0,53.8,50
G007061004000210_1.0,49.1,49.1
G007061004000310_1.0,54.6,50
G007061004000320_1.0,54.7,50
G007061004000220_1.0,54.4,50
G007061003000220_1.0,56.1,50
G007061002000820_1.0,55.4,50
G007061002000720_1.0,70.4,50
G007061002000620_1.0,45,45
G007061002000520_1.0,39.4,39.4
G007061002000420_1.0,51.5,50
G007061001000720_1.0,48.1,48.1
G007061001000620_1.0,51.2,50
S003061001000110_1.0,39.4,39.4
G007061001000520_1.0,57.4,50
G007061001000320_1.0,49.3,49.3
G007061001000220_1.0,34.8,34.8
G181261003001020_1.0,72.5,50
G181261003000920_1.0,56.1,50
G181261003000820_1.0,57.5,50
G065W61003000720_1.0,82.2,50
G065W61003001620_1.0,62.4,50
G065W61003000420_1.0,56.9,50
G065W61003000320_1.0,63.9,50
G065W61003000220_1.0,61.5,50
G065W61003000120_1.0,59.8,50
G065W61002000820_1.0,63.3,50
G065W61002000720_1.0,61.2,50
G065W61002000620_1.0,59.6,50
G065W61002000420_1.0,48.9,48.9
G065W61002000320_1.0,59.3,50
G065W61002000220_1.0,59,50
G065W61002000120_1.0,58.2,50
G065W61001000520_1.0,63.7,50
G065W61001000420_1.0,54.7,50
G065W61001000320_1.0,51.3,50
G065W61001000220_1.0,53.5,50
G065W61001000120_1.0,71.6,50
G006561005000120_1.0,53.4,50
G006561004000420_1.0,57.8,50
G006561004000320_1.0,58.8,50
G006561004000220_1.0,46.6,46.6
G006561004000120_1.0,55.6,50
G006561003000520_1.0,52.5,50
G006561003000420_1.0,57.3,50
G006561003000320_1.0,49.5,49.5
G006561003000220_1.0,62.2,50
G006561003000120_1.0,62.8,50
G006561002000520_1.0,62.1,50
G006561002000420_1.0,64.4,50
G006561002000320_1.0,56.1,50
G006561002000220_1.0,59.4,50
G006561002000120_1.0,63.9,50
G006961002000310_1.0,55.4,50
G004061002001320_1.0,54.3,50
G004061002001220_1.0,62.7,50
G004061002001020_1.0,62.1,50
G004061002000920_1.0,60.8,50
G004061002000720_1.0,55.8,50
G004061002000520_1.0,49,49
G004061002000420_1.0,53.2,50
G004061002000320_1.0,57.7,50
G004061002000220_1.0,55.1,50
G003061001000320_1.0,58,50
G003061001000220_1.0,56.9,50
G006961001000110_1.0,56.2,50
G006961001000310_1.0,53.5,50
G006961001000410_1.0,59.9,50
G006961001000510_1.0,58.7,50
G006961001000610_1.0,55.3,50
G006961001000710_1.0,52.2,50
G006961001000810_1.0,46.9,46.9
G006961001000910_1.0,56.6,50
